id,inquiry_id,size,color,quantity,type,created_at,updated_at
690,840,US 6,white,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
691,840,US 8,white,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
692,840,US 10,white,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
693,840,US 12,white,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
694,840,US 14,white,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
695,840,US 2,red,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
696,840,US 4,red,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
697,840,US 6,red,5,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
698,840,US 8,red,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
699,840,US 10,red,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
700,840,US 12,red,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
701,840,US 14,red,0,sample,2022-12-14 14:42:31,2022-12-14 14:42:31
702,840,US 2,white,250,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
703,840,US 4,white,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
704,840,US 6,white,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
705,840,US 8,white,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
706,840,US 10,white,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
707,840,US 12,white,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
708,840,US 14,white,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
709,840,US 2,red,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
710,840,US 4,red,250,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
711,840,US 6,red,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
712,840,US 8,red,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
713,840,US 10,red,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
714,840,US 12,red,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
715,840,US 14,red,0,bulk,2022-12-14 14:42:31,2022-12-14 14:42:31
