id,inquiry_id,cost_service_id,income,payment,profit_or_loss_amount,profit_or_loss_status,created_at,updated_at,supplier_id
266,96,2,0.0,0.0,0.0,3,,,
267,96,3,0.0,0.0,0.0,3,,,
268,96,4,0.0,0.0,0.0,3,,,
269,96,5,0.0,0.0,0.0,3,,,
270,96,6,0.0,0.0,0.0,3,,,
271,96,7,0.0,0.0,0.0,3,,,
272,96,8,0.0,0.0,0.0,3,,,
273,97,1,0.0,0.0,0.0,3,,,
274,97,2,0.0,0.0,0.0,3,,,
275,97,3,0.0,0.0,0.0,3,,,
276,97,4,0.0,0.0,0.0,3,,,
277,97,5,0.0,0.0,0.0,3,,,
278,97,6,0.0,0.0,0.0,3,,,
279,97,7,0.0,0.0,0.0,3,,,
280,97,8,0.0,0.0,0.0,3,,,
281,100,1,0.0,0.0,0.0,3,,,
282,100,2,0.0,0.0,0.0,3,,,
283,100,3,0.0,0.0,0.0,3,,,
284,100,4,0.0,0.0,0.0,3,,,
285,100,5,0.0,0.0,0.0,3,,,
286,100,6,0.0,0.0,0.0,3,,,
287,100,7,0.0,0.0,0.0,3,,,
288,100,8,0.0,0.0,0.0,3,,,
289,101,1,0.0,0.0,0.0,3,,,
290,101,2,0.0,0.0,0.0,3,,,
291,101,3,0.0,0.0,0.0,3,,,
292,101,4,0.0,0.0,0.0,3,,,
293,101,5,0.0,0.0,0.0,3,,,
294,101,6,0.0,0.0,0.0,3,,,
295,101,7,0.0,0.0,0.0,3,,,
296,101,8,0.0,0.0,0.0,3,,,
