id,inquiry_id,supplier_id,created_at,updated_at
216,670,1844,2022-04-21 08:37:47,2022-04-21 08:37:47
217,644,1844,2022-04-21 08:50:49,2022-04-21 08:50:49
218,505,1919,2022-04-25 05:11:45,2022-04-25 05:11:45
219,672,293,2022-04-25 08:37:41,2022-04-25 08:37:41
220,672,1870,2022-04-26 09:01:22,2022-04-26 09:01:22
221,693,1840,2022-04-28 10:42:56,2022-04-28 10:42:56
222,670,1870,2022-05-03 06:48:08,2022-05-03 06:48:08
228,696,1926,2022-05-04 18:50:05,2022-05-04 18:50:05
229,697,1926,2022-05-04 18:53:57,2022-05-04 18:53:57
230,698,1926,2022-05-04 18:55:10,2022-05-04 18:55:10
231,699,1926,2022-05-04 18:56:18,2022-05-04 18:56:18
232,693,1927,2022-05-05 20:02:48,2022-05-05 20:02:48
233,704,1927,2022-05-06 19:12:40,2022-05-06 19:12:40
234,702,293,2022-05-09 17:25:10,2022-05-09 17:25:10
235,505,1930,2022-05-11 18:12:12,2022-05-11 18:12:12
236,623,1926,2022-05-11 20:03:33,2022-05-11 20:03:33
237,655,1842,2022-06-23 23:06:45,2022-06-23 23:06:45
238,757,293,2022-07-20 09:13:51,2022-07-20 09:13:51
239,757,1962,2022-07-20 09:14:01,2022-07-20 09:14:01
240,737,293,2022-07-20 09:15:27,2022-07-20 09:15:27
241,737,1962,2022-07-20 09:15:33,2022-07-20 09:15:33
242,738,293,2022-07-20 09:17:09,2022-07-20 09:17:09
243,738,1962,2022-07-20 09:17:13,2022-07-20 09:17:13
244,739,293,2022-07-20 09:18:32,2022-07-20 09:18:32
245,739,1962,2022-07-20 09:18:38,2022-07-20 09:18:38
246,740,293,2022-07-20 09:21:18,2022-07-20 09:21:18
247,740,1962,2022-07-20 09:21:24,2022-07-20 09:21:24
248,741,293,2022-07-20 09:22:19,2022-07-20 09:22:19
249,741,1962,2022-07-20 09:22:25,2022-07-20 09:22:25
250,742,230,2022-07-20 09:23:54,2022-07-20 09:23:54
251,742,1962,2022-07-20 09:23:59,2022-07-20 09:23:59
252,747,293,2022-07-20 09:25:43,2022-07-20 09:25:43
253,747,1962,2022-07-20 09:25:49,2022-07-20 09:25:49
254,748,293,2022-07-20 09:26:43,2022-07-20 09:26:43
255,748,1962,2022-07-20 09:26:48,2022-07-20 09:26:48
256,750,293,2022-07-20 09:27:41,2022-07-20 09:27:41
257,750,1962,2022-07-20 09:27:46,2022-07-20 09:27:46
258,751,293,2022-07-20 09:28:38,2022-07-20 09:28:38
259,751,1962,2022-07-20 09:28:42,2022-07-20 09:28:42
260,753,230,2022-07-20 09:29:58,2022-07-20 09:29:58
261,753,1962,2022-07-20 09:30:02,2022-07-20 09:30:02
262,754,1962,2022-07-20 09:30:52,2022-07-20 09:30:52
264,755,230,2022-07-20 09:34:58,2022-07-20 09:34:58
265,755,1962,2022-07-20 09:35:02,2022-07-20 09:35:02
266,756,1962,2022-07-20 09:35:54,2022-07-20 09:35:54
267,756,230,2022-07-20 09:35:58,2022-07-20 09:35:58
268,754,230,2022-07-21 09:06:02,2022-07-21 09:06:02
269,734,230,2022-08-02 20:36:42,2022-08-02 20:36:42
270,734,468,2022-08-02 20:36:46,2022-08-02 20:36:46
271,734,1962,2022-08-02 20:36:51,2022-08-02 20:36:51
272,778,1962,2022-08-08 11:24:37,2022-08-08 11:24:37
273,779,1962,2022-08-08 11:31:49,2022-08-08 11:31:49
274,731,1962,2022-08-08 15:47:22,2022-08-08 15:47:22
275,731,293,2022-08-10 21:35:44,2022-08-10 21:35:44
276,766,1962,2022-08-11 09:11:16,2022-08-11 09:11:16
277,731,1973,2022-08-12 09:12:06,2022-08-12 09:12:06
278,786,1962,2022-08-16 14:29:13,2022-08-16 14:29:13
279,433,1979,2022-08-17 07:01:58,2022-08-17 07:01:58
280,670,1976,2022-08-17 07:50:20,2022-08-17 07:50:20
281,785,1962,2022-08-17 15:26:11,2022-08-17 15:26:11
282,783,1962,2022-08-18 09:17:29,2022-08-18 09:17:29
283,782,1962,2022-08-18 09:18:35,2022-08-18 09:18:35
284,781,1962,2022-08-18 09:20:05,2022-08-18 09:20:05
285,788,1926,,
286,789,1962,2022-08-23 15:57:29,2022-08-23 15:57:29
287,670,1992,2022-08-26 07:26:38,2022-08-26 07:26:38
288,794,1962,2022-08-30 11:56:24,2022-08-30 11:56:24
289,792,1962,2022-08-30 13:12:25,2022-08-30 13:12:25
